"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","MasterPrice","SalePrice","MasterSalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID","Sizes"
"P039W823","MP_1238","Online","Women's Chuck Patch Scoop Tee","Hot Coral",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,19.99,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/03/12,07/24/12,"12 Fall","Runout",,,,,,,"FF6103",,"P311W039",,"N",,,"S,M,L,XL"
"P039W035","MP_1238","Online","Women's Chuck Patch Scoop Tee","Vintage Grey",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,34,,19.99,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/23/12,07/24/12,"12 Fall","Runout",,,,,,,919191,,"P311W039",,"N",,,"S,M,L,XL"
"P039W001","MP_1238","Online","Women's Chuck Patch Scoop Tee","Jet Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,19.99,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/23/12,07/24/12,"12 Fall","Runout",,,,,,,0,,,,"N",,,"S,M,L,XL"
"P023W655","MP_1432","Online","Converse Logo V-Neck Tee","Raspberry",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,28,,19.99,"Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/07/12,07/24/12,"12 Fall","Runout",,,,,,,"FF6A6A",,"P311W023",,"N",,,"S,M,L,XL"
"P023W333","MP_1432","Online","Converse Logo V-Neck Tee","Parasailing Heather",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,28,,19.99,"Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/03/12,07/24/12,"12 Fall","Runout",,,,,,,"00C78C",,"P311W023",,"N",,,"S,M,L,XL"
"P023W100","MP_1432","Online","Converse Logo V-Neck Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,19.99,"Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/09/11,08/09/11,"11 Fall","Runout",,,,,,,"FFFFFF",,"P311W023",,"N",,,"S,M,L,XL"
"P023W001","MP_1432","Online","Converse Logo V-Neck Tee","Jet Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,19.99,"Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/09/11,08/09/11,"11 Fall","Runout",,,,,,,0,,"P311W023",,"N",,,"S,M,L,XL"
"B002M401","MP_1836","Online","Men's Chambray Workwear Shirt","Phantom",,"Cotton","Women",,"Apparel","Shirts",,,"regular","Standard Size Chart","Runs true to size",,58,,0,"Work it. Long sleeve heavy gauge cotton long sleeve shirt with double breast pockets. 100% Cotton. Made in China. Machine wash cold.",11/15/12,11/01/12,"12 Holiday","Runout",,,,,,,737373,,"B311M401",,"N",,,"S,M,L,XL"
"5781648C","FMP5781648C","Offline","Women's  Core Chuck Patch Hoodie","Burgundy",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,58,,19.99,,,11/01/13,"13 Holiday","Runout",70,,,,,,,,"05781C","pending","N",,,"S,M,L,XL"
"5781642C","FMP5781642C","Offline","Women's  Core Chuck Patch Hoodie","Varsity Red",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,58,,19.99,,,11/01/13,"13 Holiday","Runout",70,,,,,,,,"05781C","pending","N",,,"S,M,L,XL"
