"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID"
"540375C",,"Offline","Chuck Taylor Leather Side Zip","Black","Hi","Leather","Women","All Star","Sneakers","Chuck Taylor - Iterations","Rock Craftmanship",,"regular","Womens Size Chart","Runs true to size",80.00,,,,10/1/2013,"13 Holiday","Runout",431,,,,,,,,,"pending","N",,
"540367C","MP_2038","Offline","Chuck Taylor All Star Collar Studs","Egret","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Collar Studs",,"regular","Womens Size Chart","Runs true to size",75.00,0.00,,,07/01/13,"13 Fall","Runout",710,,,,,,,,,"pending","N",,
"540366C","MP_2038","Offline","Chuck Taylor All Star Collar Studs","Black","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Collar Studs",,"regular","Womens Size Chart","Runs true to size",75.00,0.00,,,07/01/13,"13 Fall","Runout",774,,,,,,,,,"pending","N",,
"540365C",,"Offline","Chuck Taylor All Star Platform Zip","Egret","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Platform",,"regular","Womens Size Chart","Runs true to size",85.00,0.00,,,07/01/13,"13 Fall","Runout",258,,,,,,,,,"pending","N",,
"540364C",,"Offline","Chuck Taylor All Star Platform Zip","Black","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Platform",,"regular","Womens Size Chart","Runs true to size",85.00,0.00,,,07/01/13,"13 Fall","Runout",323,,,,,,,,,"pending","N",,
"540363F",,"Offline","Chuck Taylor Double Tongue","Grey","Low","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Washed Neon",,"regular","Womens Size Chart","Runs true to size",50.00,,,,12/1/2013,"13 Holiday","Runout",514,,,,,,,,,"pending","N",,
"540362C",,"Offline","Chuck Taylor Metallic Two Fold","Charcoal Grey ","Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Metallic",,"regular","Womens Size Chart","Runs true to size",65.00,,,,7/1/2013,"13 Fall","Runout",387,,,,,,,,,"pending","N",,
"540342C",,"Offline","Jack Purcell Jane","Egret","Low","Cotton","Women","JACK PURCELL","Sneakers","Jack Purcell?","Polka Dot",,"regular","Womens Size Chart","Runs true to size",65.00,0.00,,,07/01/13,"13 Fall","Runout",90,,,,,,,,,"pending","N",,
"540341C",,"Offline","Jack Purcell Jane","Navy","Low","Cotton","Women","JACK PURCELL","Sneakers","Jack Purcell?","Polka Dot",,"regular","Womens Size Chart","Runs true to size",65.00,0.00,,,07/01/13,"13 Fall","Runout",90,,,,,,,,,"pending","N",,
"540341C",,"Offline","Jack Purcell Jane","Navy","Low","Cotton","Women","JACK PURCELL","Sneakers","Jack Purcell?","Polka Dot",,"regular","Womens Size Chart","Runs true to size",65.00,0.00,,,07/01/13,"13 Fall","Runout",90,,,,,,,,,"pending","N",,
"540340F","MP_2060","Offline","Chuck Taylor Wool","Blue","Low","Textile","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Wool",,"regular","Womens Size Chart","Runs true to size",60.00,,,,10/1/2013,"13 Holiday","Runout",554,,,,,,,,,"pending","N",,
"540339F","MP_2060","Offline","Chuck Taylor Wool","Black","Low","Textile","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Wool",,"regular","Womens Size Chart","Runs true to size",60.00,,,,10/1/2013,"13 Holiday","Runout",628,,,,,,,,,"pending","N",,
"540330F",,"Offline","Chuck Taylor Wool","Whitecap","Hi","Textile","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Wool",,"regular","Womens Size Chart","Runs true to size",65.00,,,,10/1/2013,"13 Holiday","Runout",382,,,,,,,,,"pending","N",,
"540319C",,"Offline","Chuck Taylor Foil Polka Dots","White","Low","Suede","Women","All Star","Sneakers","Chuck Taylor - Iterations","Polka Dots",,"regular","Womens Size Chart","Runs true to size",65.00,,,,11/1/2013,"13 Holiday","Runout",492,,,,,,,,,"pending","N",,
"540317C","MP_2081","Offline","Chuck Taylor Foil Polka Dots","Grey","Hi","Suede","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Polka Dots",,"regular","Womens Size Chart","Runs true to size",70.00,,,,11/1/2013,"13 Holiday","Runout",591,,,,,,,,,"pending","N",,
"540316C","MP_2081","Offline","Chuck Taylor Foil Polka Dots","Black","Hi","Suede","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Polka Dots",,"regular","Womens Size Chart","Runs true to size",70.00,,,,11/1/2013,"13 Holiday","Runout",566,,,,,,,,,"pending","N",,
"540315F",,"Offline","Chuck Taylor All Star","White","Low","Cotton","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Heart Print",,"regular","Womens Size Chart","Runs true to size",55.00,0.00,,,06/01/13,"13 Fall","Runout",431,,,,,,,,,"pending","N",,
"540314F",,"Offline","Chuck Taylor All Star","Black","Low","Cotton","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Heart Print",,"regular","Womens Size Chart","Runs true to size",55.00,0.00,,,06/01/13,"13 Fall","Runout",369,,,,,,,,,"pending","N",,
"540311C",,"Offline","Chuck Taylor Wool Dainty","Brown","Low","Suede","Women","All Star","Sneakers","Chuck  Taylor- Extensions","Dainty",,"regular","Womens Size Chart","Runs true to size",65.00,,,,10/1/2013,"13 Holiday","Runout",135,,,,,,,,,"pending","N",,
"540310C",,"Offline","Chuck Taylor Wool Dainty","Black","Low","Suede","Women","All Star","Sneakers","Chuck  Taylor- Extensions","Dainty",,"regular","Womens Size Chart","Runs true to size",65.00,,,,10/1/2013,"13 Holiday","Runout",172,,,,,,,,,"pending","N",,
