"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID"
"P039W035","MP_1238","Online","Women's Chuck Patch Scoop Tee","Vintage Grey",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",34.00,24.99,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/23/12,07/24/12,"12 Fall","Runout",,,,,,,919191,,"P311W039",,"N",,
"P039W001","MP_1238","Online","Women's Chuck Patch Scoop Tee","Jet Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,19.99,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/23/12,07/24/12,"12 Fall","Runout",,,,,,,0,,,,"N",,
"P023W655","MP_1432","Online","Converse Logo V-Neck Tee","Raspberry",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",28.00,19.99,"Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/07/12,07/24/12,"12 Fall","Runout",,,,,,,"FF6A6A",,"P311W023",,"N",,
"P023W333","MP_1432","Online","Converse Logo V-Neck Tee","Parasailing Heather",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",28.00,19.99,"Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/03/12,07/24/12,"12 Fall","Runout",,,,,,,"00C78C",,"P311W023",,"N",,
"P023W100","MP_1432","Online","Converse Logo V-Neck Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,19.99,"Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/09/11,08/09/11,"11 Fall","Runout",,,,,,,"FFFFFF",,"P311W023",,"N",,
"P023W001","MP_1432","Online","Converse Logo V-Neck Tee","Jet Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,19.99,"Take the plunge. Move from understated to edgy in this lightweight V-neck made with distressed screen-print of Converse star logo. Cotton/polyester blend. Made in Guatemala.  Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",08/09/11,08/09/11,"11 Fall","Runout",,,,,,,0,,"P311W023",,"N",,
"B002M401","MP_1836","Online","Men's Chambray Workwear Shirt","Phantom",,"Cotton","Women",,"Apparel","Shirts",,,"regular","Standard Size Chart","Runs true to size",58.00,0.00,"Work it. Long sleeve heavy gauge cotton long sleeve shirt with double breast pockets. 100% Cotton. Made in China. Machine wash cold.",11/15/12,11/01/12,"12 Holiday","Runout",,,,,,,737373,,"B311M401",,"N",,
"5781648C",,"Offline","Women's  Core Chuck Patch Hoodie","Burgundy",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,58.00,,,,11/1/2013,"13 Holiday","Runout",70,,,,,,,,"05781C","pending","N",,
"5781642C",,"Offline","Women's  Core Chuck Patch Hoodie","Varsity Red",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,58.00,,,,11/1/2013,"13 Holiday","Runout",70,,,,,,,,"05781C","pending","N",,
"5781132C",,"Offline","Women's  Core Chuck Patch Hoodie","Parchment",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,58.00,,,,7/1/2013,"13 Fall","Runout",28,,,,,,,,"05781C","pending","N",,
"5781132C",,"Offline","Women's  Core Chuck Patch Hoodie","Parchment",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,58.00,,,,7/1/2013,"13 Fall","Runout",28,,,,,,,,"05781C","pending","N",,
"5781035C",,"Offline","Women's Core Chuck Patch Hoodie","Vintage Grey",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,58.00,,,,7/1/2013,"13 Fall","Runout",47,,,,,,,,"05781C","pending","N",,
"5781035C",,"Offline","Women's Core Chuck Patch Hoodie","Vintage Grey",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,58.00,,,,7/1/2013,"13 Fall","Runout",47,,,,,,,,"05781C","pending","N",,
"5781001C",,"Offline","Women's Core Chuck Patch Hoodie","Jet Black",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,58.00,,,,7/1/2013,"13 Fall","Runout",53,,,,,,,,"05781C","pending","N",,
"5677339C",,"Online","Greed Skulls Scoop Tee","Sharp Green",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,19.99,,02/01/13,02/01/13,"13 Spring","Runout",,,,,,,,,"05677C",,"N",,
"5675100C",,"Online","Light Bolt Scoop Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,19.99,,03/20/13,03/01/13,"13 Spring","Runout",,,,,,,,,"05675C",,"N",,
"5674001C",,"Online","Women's 3D Skulls Scoop Tee","Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,19.99,,02/01/13,02/01/13,"13 Spring","Runout",,,,,,,,,"05674C",,"N",,
"5673100C",,"Online","Zig Zag V-Neck Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,0.00,,02/01/13,01/01/13,"13 Spring","Runout",,,,,,,,,"05673C",,"N",,
"5670674C",,"Online","Stripe Star Scoop Tee","Hibiscus",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,0.00,,03/22/13,03/01/13,"13 Spring","Runout",,,,,,,,,"05670C",,"N",,
"5668548C",,"Online","Stamp V-Neck Tee","Chalk Violet",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,19.99,,01/23/13,01/01/13,"13 Spring","Runout",,,,,,,,,"05668C",,"N",,
"5667339C",,"Online","Love Haight Scoop Tee","Sharp Green",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,19.99,,,03/01/13,"13 Spring","Runout",,,,,,,,,"05667C",,"N",,
"5665024C",,"Online","Heritage Scoop Tee","Charcoal",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,19.99,,02/01/13,02/01/13,"13 Spring","Runout",,,,,,,,,"05665C",,"N",,
"5663674C","MP_1852","Online","Drippy Converse Scoop Tee","Hibiscus",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,0.00,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,"FF6A6A",,"05663C",,"N",,
"5663664C","MP_1852","Online","Drippy Scoop Tee","Chuck Pink",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,0.00,,,04/01/13,"13 Summer","Runout",30,,,,,,,,,,"N",,
"5663339C","MP_1852","Online","Drippy Converse Scoop Tee","Sharp Green",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,0.00,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,"CAFF70",,"05663C",,"N",,
"5663100C","MP_1852","Online","Drippy Converse Scoop Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,0.00,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,"FFFFFF",0,"05663C",,"N",,
"5663024C","MP_1852","Online","Drippy Scoop Tee","Charcoal",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,0.00,,,04/01/13,"13 Summer","Runout",32,,,,,,,,,,"N",,
"5663001C","MP_1852","Online","Drippy Converse Scoop Tee","Jet Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,0.00,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,0,,"05663C",,"N",,
"5662656C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Beaujolais",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,0.00,,,04/01/13,"13 Summer","Runout",30,,,,,,,,,,"N",,
"5662548C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Chalk Violet",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,0.00,"Take the plunge. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton.Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/13/13,01/01/13,"13 Spring","Runout",,,,,,,"D8BFD8",,"05662C",,"N",,
"5662035C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Vintage Grey Heather",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,0.00,"Take the plunge. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton.Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,"B0B0B0",,"05662C",,"N",,
"5662002C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Phantom",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,0.00,"Take the plunge. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton.Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,595959,,"05662C",,"N",,
"5662001C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,25.00,0.00,,,04/01/13,"13 Summer","Runout",46,,,,,,,,,,"N",,
