SKU,MasterProductID,CurrentStatus,ProductName,Color,Cut,Material,Gender,BrandSegment,Pillar,MerchPlannerCategory,Collection,ProductType,SizeChart,SizeChartMessaging,Price,SalePrice,Description,ActualStartDate,TargetLaunchDate,InitialSeasonLaunch,LifeCycle,InitialPairsOrdered,NikeProductID,InstanceID,FOB,APS,ProdManOnly,MainColorHex,AccentColorHex,X Ref Style
6067360C,,Pending,Chuck Patch Tee,Cerulean,,,Mens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,60,,,,,FALSE,,,
6067002C,,Pending,Phantom Chuck Patch Play,Phantom,,,Mens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,70,,,,,FALSE,,,
5663664C,,Pending,Drippy Scoop Tee,Chuck Pink,,,Womens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,30,,,,,FALSE,,,
5663024C,,Pending,Drippy Scoop Tee,Charcoal,,,Womens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,32,,,,,FALSE,,,
5662656C,,Pending,Chuck Patch V Neck Tee,Beaujolais,,,Womens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,30,,,,,FALSE,,,
5662001C,,Pending,Chuck Patch V Neck Tee,Black,,,Womens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,46,,,,,FALSE,,,
5647642C,,Pending,Spray Paint Chuck Taylor,Varsity Red,,,Mens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,50,,,,,FALSE,,,
539598C,,Pending,Chuck Taylor All Star Premium,White/Turtledove,Hi,,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Premium SMU,regular,Womens Size Chart,Runs true to size,100,0,,,05/01/13,13 Summer,Runout,120,,,,,FALSE,,,
539597C,,Pending,Chuck Taylor All Star Premium,Limestone/Turtledove/White,Hi,,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Premium SMU,regular,Womens Size Chart,Runs true to size,100,0,,,05/01/13,13 Summer,Runout,100,,,,,FALSE,,,
539596C,,Pending,Chuck Taylor All Star Premium,,,,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Premium SMU,regular,Womens Size Chart,Runs true to size,85,0,,,05/01/13,13 Summer,Runout,100,,,,,FALSE,,,
539595C,,Pending,Chuck Taylor All Star Premium,,,,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Premium SMU,regular,Womens Size Chart,Runs true to size,85,0,,,05/01/13,13 Summer,Runout,120,,,,,FALSE,,,
537227C,,Pending,Chuck Taylor All Star,Natural,Hi,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Floral Print,regular,Womens Size Chart,Runs true to size,55,0,,,05/01/13,13 Summer,Runout,135,,,,,FALSE,,,
537212C,,Pending,Chuck Taylor All Star Multi Tongue,Lavendula,Low,Canvas,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Floral Print,regular,Womens Size Chart,Runs true to size,60,0,,,05/01/13,13 Summer,Runout,100,,,,,FALSE,,,
537191C,,Pending,Chuck Taylor All Star Espadrille,Milk,Slip,Cotton,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Extensions,Espadrille,regular,Womens Size Chart,Runs true to size,50,0,,,04/01/13,13 Summer,Runout,180,,,,,FALSE,,,
537147F,,Pending,Chuck Taylor All Star,Natural,Low,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Floral Print,regular,Womens Size Chart,Runs true to size,55,0,,,05/01/13,13 Summer,Runout,180,,,,,FALSE,,,
537127F,,Pending,Chuck Taylor All Star Double Tongue,N. Iron,Low,Canvas,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Foil Tipped Linen,regular,Womens Size Chart,Runs true to size,50,0,,,04/01/13,13 Summer,Runout,150,,,,,FALSE,,,
537126C,,Pending,Chuck Taylor All Star Two Fold,Egret,Hi,Canvas,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Foil Tipped Linen,regular,Womens Size Chart,Runs true to size,60,0,,,04/01/13,13 Summer,Runout,180,,,,,FALSE,,,
537125F,,Pending,Chuck Taylor All Star,N. Iron,Low,Cotton,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Foil Tipped Linen,regular,Womens Size Chart,Runs true to size,55,0,,,04/01/13,13 Summer,Runout,160,,,,,FALSE,,,
537124F,,Pending,Chuck Taylor All Star,Carmine Rose,Low,Cotton,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Foil Tipped Linen,regular,Womens Size Chart,Runs true to size,55,0,,,04/01/13,13 Summer,Runout,85,,,,,FALSE,,,
537123F,,Pending,Chuck Taylor All Star Shoreline,Natural,Slip,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Iterations,Floral Print,regular,Womens Size Chart,Runs true to size,55,0,,,05/01/13,13 Summer,Runout,172,,,,,FALSE,,,
537122F,,Pending,Chuck Taylor All Star Shoreline,Charcoal,Slip,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Iterations,Floral Print,regular,Womens Size Chart,Runs true to size,55,0,,,05/01/13,13 Summer,Runout,135,,,,,FALSE,,,
537114F,,Pending,Chuck Taylor All Star,Lavendula,Low,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Floral Print,regular,Womens Size Chart,Runs true to size,55,0,,,05/01/13,13 Summer,Runout,100,,,,,FALSE,,,
537113F,,Pending,Chuck Taylor All Star,Dark Denim,Low,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Floral Print,regular,Womens Size Chart,Runs true to size,55,0,,,05/01/13,13 Summer,Runout,140,,,,,FALSE,,,
537112C,,Pending,Chuck Taylor All Star,Dark Denim,Hi,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Floral Print,regular,Womens Size Chart,Runs true to size,60,0,,,05/01/13,13 Summer,Runout,140,,,,,FALSE,,,
537089F,,Pending,Chuck Taylor All Star Shoreline,Lavendula,Slip,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Iterations,Floral Print,regular,Womens Size Chart,Runs true to size,55,0,,,05/01/13,13 Summer,Runout,86,,,,,FALSE,,,
537088F,,Pending,Chuck Taylor All Star Shoreline,Dark Denim,Slip,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Iterations,Floral Print,regular,Womens Size Chart,Runs true to size,55,0,,,05/01/13,13 Summer,Runout,148,,,,,FALSE,,,
537064C,,Active,Chuck Taylor All Star Gladiator,Neon Yellow,Mid,Textile,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Extensions,Gladiator,regular,Womens Size Chart,Runs true to size,40,0,,03/08/13,04/01/13,13 Summer,Runout,111,,,,,FALSE,,,
537053C,,Pending,Chuck Taylor All Star Espadrille,Green,Slip,Cotton,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Extensions,Espadrille,regular,Womens Size Chart,Runs true to size,50,0,,,04/01/13,13 Summer,Runout,40,,,,,FALSE,,,
537052C,,Pending,Chuck Taylor All Star Espadrille,Frost Gray,Slip,Cotton,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Extensions,Espadrille,regular,Womens Size Chart,Runs true to size,50,0,,,04/01/13,13 Summer,Runout,140,,,,,FALSE,,,
537051C,,Pending,Chuck Taylor All Star Espadrille,Chocolate,Slip,Cotton,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Extensions,Espadrille,regular,Womens Size Chart,Runs true to size,50,0,,,04/01/13,13 Summer,Runout,100,,,,,FALSE,,,
537050C,,Active,Chuck Taylor All Star Gladiator,White,Mid,Canvas,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Extensions,Gladiator,regular,Womens Size Chart,Runs true to size,40,0,,,04/01/13,13 Summer,Runout,320,,,,,FALSE,,,
537049C,,Active,Chuck Taylor All Star Gladiator,Black,Mid,Canvas,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Extensions,Gladiator,regular,Womens Size Chart,Runs true to size,40,0,,,04/01/13,13 Summer,Runout,406,,,,,FALSE,,,
537048C,,Active,Chuck Taylor All Star Gladiator,B Blue,Mid,Canvas,Womens,ALL STAR,Chuck Taylor,Chuck Taylor?-Extensions,Gladiator,regular,Womens Size Chart,Runs true to size,40,0,,,04/01/13,13 Summer,Runout,172,,,,,FALSE,,,
4862112C,,Pending,Zip Pocket Moto Hoodie,Bone White,,,Womens,,Apparel,Hoodies,,regular,Standard Size Chart,,58,0,,,05/01/13,13 Summer,Runout,10,,,,,FALSE,,,
