"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","FOB","APS","ProdManOnly","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","destCustomizeSKU","destCustomizeMetricID"
"B002M401","MP_1836","Online","Men's Chambray Workwear Shirt","Phantom",,"Cotton","Women",,"Apparel","Shirts",,"regular","Standard Size Chart","Runs true to size",58,0,"Work it.


Long sleeve heavy gauge cotton long sleeve shirt with double breast pockets. 100% Cotton. Made in China. Machine wash cold.",41228,41214,"12 Holiday","Runout",,,,,,0,737373,,"B311M401",,"N",,
"B453M401",,"Online","Men's Chambray Workwear Shirt","Washed Ink",,"Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,58,,,,,"12 Holiday","Runout",,,,,,0,,,"B311M401","pending","N",,
"05372C",,"Offline","Men's Chuck City  Crew Tee","Vintage Grey",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",35,,,,,0,,,"05372C","pending","N",,
"5311001C",,"Offline","Men's Chuck Patch Crew Tee","Jet Black",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",63,,,,,0,,,"05311C","pending","N",,
"5311035C",,"Offline","Men's Chuck Patch Crew Tee","Vintage Grey",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",53,,,,,0,,,"05311C","pending","N",,
"5311110C",,"Offline","Men's Chuck Patch Crew Tee","Optic White",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",73,,,,,0,,,"05311C","pending","N",,
"5311304C",,"Offline","Men's Chuck Patch Crew Tee","Forest Green",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",25,,,,,0,,,"05311C","pending","N",,
"5311472C",,"Offline","Men's Chuck Patch Crew Tee","Midnight Lake",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",36,,,,,0,,,"05311C","pending","N",,
"5311648C",,"Offline","Men's Chuck Patch Crew Tee","Burgundy",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",29,,,,,0,,,"05311C","pending","N",,
"04996C",,"Offline","Men's Chuck Patch Full Zip Hoodie","Burgundy",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,58,,,,09/01/2013,"13 Fall","Runout",31,,,,,0,,,"04996C","pending","N",,
"04798C",,"Offline","Men's Chuck Patch Stamp Tee","Black Heather",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,11/01/2013,"13 Holiday","Runout",160,,,,,0,,,"04798C","pending","N",,
"5888132C",,"Offline","Men's Chuck Patch Stamp Tee","Parchment",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,11/01/2013,"13 Holiday","Runout",110,,,,,0,,,"05888C","pending","N",,
"5888308C",,"Offline","Men's Chuck Patch Stamp Tee","Grapeleaf",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,11/01/2013,"13 Holiday","Runout",103,,,,,0,,,"05888C","pending","N",,
"5888903C",,"Offline","Men's Chuck Patch Stamp Tee","Poseidon",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,11/01/2013,"13 Holiday","Runout",100,,,,,0,,,"05888C","pending","N",,
"05371C",,"Offline","Men's Chuck Snake Crew Tee","Forest Green",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,07/01/2013,"13 Fall","Runout",31,,,,,0,,,"05371C","pending","N",,
