"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID"
"135533C",,"Online","Design Your Own Chuck Taylor All Star","Your Choice","Low","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",49.60,0.00,,,,,"Runout",,"chuTayOxCanCTCT1006",24352,,,,,,,,"N",,
"135532C",,"Online","Design Your Own Chuck Taylor All Star","Your Choice","Slip","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",70.00,0.00,,,,,"Runout",,"chuTaySliOxCan1101",24372,,,,,,,,"N",,
"135529C",,"Online","Design Your Own Chuck Taylor All Star","Your Choice","Low","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",70.00,0.00,,,,,"Runout",,"chuTayOxCan1010",30890,,,,,,,,"N",,
"135528C",,"Online","Design Your Own Chuck Taylor All Star","Your Choice","Hi","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",70.00,0.00,,,,,"Runout",,"chuTayHiCan1010",30889,,,,,,,,"N",,
"135527C",,"Online","Design Your Own Chuck Taylor All Star","Your Choice","X-Hi","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",70.00,0.00,,,,,"Runout",,"chuTayX-HiCan1105",24360,,,,,,,,"N",,
"135525C",,"Online","Design Your Own Neon Ox","Your Choice","Low","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",70.00,,,,,,"Runout",,"chuTayOxCanNeo1002",24350,,,,,,,"pending","N",,
"135524C",,"Online","Design Your Own Neon Hi","Your Choice","Hi","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",70.00,,,,,,"Runout",,"chuTayHiCanNeo1002",24349,,,,,,,"pending","N",,
"135522C",,"Online","Design Your Own Double Tongue","Your Choice","Low","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",70.00,,,,,,"Runout",,"chuTayDouTonOxCan1101",30894,,,,,,,"pending","N",,
"135521C",,"Online","Design Your Own Double Upper Ox","Your Choice","Low","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",75.00,,,,,,"Runout",,"chuTayDouUppOxCan1006",30888,,,,,,,"pending","N",,
"135520C",,"Online","Design Your Own Double Upper Hi","Your Choice","Hi","Canvas","Unisex","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Chuck Size Chart","Runs a half-size large",75.00,,,,,,"Runout",,"chuTayDouUppCan1006",30891,,,,,,,"pending","N",,
"135514F","MP_154","Online","Chuck Taylor All Star","Snorkel Blue","Low","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",50.00,0.00,,,03/01/13,"13 Spring","Runout",880,,,,,,,,,,"N",,
"135511F","MP_148","Online","Chuck Taylor All Star","Snorkel Blue","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Seasonals",,"regular","Chuck Size Chart","Runs a half-size large",55.00,0.00,,,03/01/13,"13 Spring","Runout",726,,,,,,,,,,"N",,
"135303C","MP_1813","Online","Chuck Taylor Premium Wool","Olive","Hi","Wool","Unisex","All Star","Sneakers","Chuck Taylor- Seasonal","Waxed Wool",,"regular","Chuck Size Chart","Runs a half-size large",125.00,89.99,,10/25/12,10/01/12,"12 Holiday","Runout",135,,,,,,"8E8E38",,,,"N",,
"135286F","MP_2041","Online","Chuck Taylor DC Comics- Superman","Grey/Red","Hi","Canvas","Unisex",,"Sneakers","Chuck Taylor - Collaborations","DC Comics",,"regular","Chuck Size Chart","Runs a half-size large",60.00,49.99,,,,"12 Holiday","Runout",,,,,,,,,,"pending","N",,
"135264F","MP_1845","Online","Chuck Taylor All Star LP","Dark Navy","Low","Canvas","Unisex","All Star","Sneakers","Chuck  Taylor- Extensions","Low Profile",,"regular","Chuck Size Chart","Runs a half-size large",55.00,39.99,,01/08/13,12/01/12,"12 Holiday","Runout",295,,,,,,80,,,,"N",,
"135262F","MP_1844","Online","Chuck Taylor All Star LP","Olive Branch","Hi","Canvas","Unisex","All Star","Sneakers","Chuck  Taylor- Extensions","Low Profile",,"regular","Chuck Size Chart","Runs a half-size large",60.00,44.99,,01/08/13,12/01/12,"12 Holiday","Runout",172,,,,,,"6E8B3D",,,,"N",,
"135198C","MP_2041","Online","Chuck Taylor DC Comics-Teen Titans","Black/Multi","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor - Collaborations","DC Comics",,"regular","Chuck Size Chart","Runs a half-size large",60.00,39.99,,11/20/12,11/01/12,"12 Holiday","Runout",1000,,,,,,,,,,"N",,
"132898C",,"Online","KA-One Vulc","Grey/Red","Low","Suede","Unisex","CONS","Sneakers","Action Culture","Converse Skateboarding",,"regular","Standard Size Chart","Runs true to size",60.00,39.99,,08/03/12,06/01/12,"12 Fall","Runout",120,,,,,,,,,,"N",,
"132441C",,"Online","Chuck Taylor All Star Specialty","Cloud Gray / Aspen Blue","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor - Collaborations","DC COMICS",,"regular","Chuck Size Chart","Runs a half-size large",60.00,24.99,,06/21/12,06/01/12,"12 Fall","Runout",2108,,,,,,,,,,"N",,
"132439C",,"Online","Chuck Taylor All Star Specialty","Black / Amaranth Purple","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor - Collaborations","DC COMICS",,"regular","Chuck Size Chart","Runs a half-size large",60.00,24.99,,06/21/12,06/01/12,"12 Fall","Runout",2240,,,,,,,,,,"N",,
"132439C",,"Online","Chuck Taylor All Star ","Black / Amaranth Purple","Hi","Canvas","Unisex","All Star","Sneakers","Chuck Taylor - Collaborations","DC Comics",,"regular","Chuck Size Chart","Runs a half-size large",60.00,24.99,,,02/01/13,"13 Spring","Runout",500,,,,,,,,,,"N",,
"132388C",,"Offline","Chuck Taylor Chuck Taylor Hollis Boot","Navy","Hi","Leather","Unisex","All Star","Sneakers","Chuck  Taylor- Extensions","Hollis Boot",,"regular","Chuck Size Chart","Runs a half-size large",80.00,"#VALUE!",,,10/1/2013,"13 Holiday","Runout",245,,,,,,,,,"pending","N",,
"132381C",,"Offline","Chuck Taylor Hiker","Black","Hi","Leather","Unisex","All Star","Sneakers","Chuck Taylor - Iterations","Hiker",,"regular","Chuck Size Chart","Runs a half-size large",70.00,"#VALUE!",,,10/1/2013,"13 Holiday","Runout",307,,,,,,,,,"pending","N",,
"132380C",,"Offline","Chuck Taylor Hiker","Chocolate","Hi","Leather","Unisex","All Star","Sneakers","Chuck Taylor - Iterations","Hiker",,"regular","Chuck Size Chart","Runs a half-size large",70.00,"#VALUE!",,,10/1/2013,"13 Holiday","Runout",334,,,,,,,,,"pending","N",,
